,provinceID,cityID,districtID,townID,villageID,nameVillage,nameTown,nameDistrict,nameCity,oldID,voteID_base,trimVillage,names,id,voteID_id
3203,05,000,00,024,0340,復興里,左營區,高雄市,高雄市,05000024340,201201,復興里,高雄市左營區復興里,,
3669,05,000,00,037,0806,誠正里,鳳山區,高雄市,高雄市,05000037806,201201,誠正里,高雄市鳳山區誠正里,,
3683,05,000,00,037,0820,海風里,鳳山區,高雄市,高雄市,05000037820,201201,海風里,高雄市鳳山區海風里,,
3765,06,001,00,001,0009,民生里,宜蘭市,宜蘭縣,宜蘭縣,06001001009,201201,民生里,宜蘭縣宜蘭市民生里,,
3766,06,001,00,001,0010,昇平里,宜蘭市,宜蘭縣,宜蘭縣,06001001010,201201,昇平里,宜蘭縣宜蘭市昇平里,,
3767,06,001,00,001,0011,大東里,宜蘭市,宜蘭縣,宜蘭縣,06001001011,201201,大東里,宜蘭縣宜蘭市大東里,,
3768,06,001,00,001,0012,新興里,宜蘭市,宜蘭縣,宜蘭縣,06001001012,201201,新興里,宜蘭縣宜蘭市新興里,,
3769,06,001,00,001,0013,和睦里,宜蘭市,宜蘭縣,宜蘭縣,06001001013,201201,和睦里,宜蘭縣宜蘭市和睦里,,
3783,06,001,00,001,0027,中正里,宜蘭市,宜蘭縣,宜蘭縣,06001001027,201201,中正里,宜蘭縣宜蘭市中正里,,
3792,06,001,00,001,0036,慶和里,宜蘭市,宜蘭縣,宜蘭縣,06001001036,201201,慶和里,宜蘭縣宜蘭市慶和里,,
3793,06,001,00,001,0037,鄂王里,宜蘭市,宜蘭縣,宜蘭縣,06001001037,201201,鄂王里,宜蘭縣宜蘭市鄂王里,,
3796,06,001,00,001,0040,大道里,宜蘭市,宜蘭縣,宜蘭縣,06001001040,201201,大道里,宜蘭縣宜蘭市大道里,,
3825,06,001,00,003,0069,岳明里,蘇澳鎮,宜蘭縣,宜蘭縣,06001003069,201201,岳明里,宜蘭縣蘇澳鎮岳明里,,
3999,06,002,00,001,0008,大華村,蘆竹鄉,桃園縣,桃園縣,06002001008,201201,大華村,桃園縣蘆竹鄉大華村,,
5067,06,005,00,007,0132,南瑶里,彰化市,彰化縣,彰化縣,06005007132,201201,南瑶里,彰化縣彰化市南瑶里,,
